"71360","ACCT 203","Survey of Accounting","001","Fairfax","Aug 29, 2016 - Dec 20, 2016","M","1:30 pm - 2:45 pm","ENT 178","Lecture","Constance Hylton "
"71361","ACCT 203","Survey of Accounting","002","Fairfax","Aug 29, 2016 - Dec 20, 2016","W","1:30 pm - 2:45 pm","ENT 178","Lecture","Constance Hylton "
"71362","ACCT 203","Survey of Accounting","003","Fairfax","Aug 29, 2016 - Dec 20, 2016","M","7:20 pm - 10:00 pm","EXPL L003","Lecture","Paul Harley "
"71363","ACCT 203","Recitation for Lecture 001","301","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","7:30 am - 8:45 am","ENT 173","Recitation","unknown "
"71366","ACCT 203","Recitation for Lecture 001","302","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","9:00 am - 10:15 am","ENT 173","Recitation","unknown "
"72527","ACCT 203","Recitation for Lecture 001","303","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","10:30 am - 11:45 am","ENT 173","Recitation","unknown "
"71364","ACCT 203","Recitation for Lecture 001","304","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","12:00 pm - 1:15 pm","ENT 173","Recitation","unknown "
"71365","ACCT 203","Recitation for Lecture 002","305","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","1:30 pm - 2:45 pm","ENT 173","Recitation","unknown "
"71367","ACCT 203","Recitation for Lecture 002","306","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","3:00 pm - 4:15 pm","CANCEL CRSE","Recitation","unknown "
"72180","ACCT 203","Recitation for Lecture 002","307","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","4:30 pm - 5:45 pm","CANCEL CRSE","Recitation","unknown "
"81177","ACCT 203","Recitation for Lecture 002","308","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","10:30 am - 11:45 am","R B224","Recitation","unknown "
"75691","ACCT 203","Recitation for Lecture 002","309","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","9:00 am - 10:15 am","MH D001","Recitation","unknown "
"81368","ACCT 203","Recitation for Lecture 002","310","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","10:30 am - 11:45 am","R B222","Recitation","unknown "
"73537","ACCT 203","Survey of Accounting","DL1","Internet","Aug 29, 2016 - Dec 20, 2016","","","ON LINE","Lecture","Constance Hylton "
"76800","ACCT 203","Survey of Accounting","K01","GMU Korea","Aug 29, 2016 - Dec 16, 2016","R","1:15 pm - 4:00 pm","KOREA TBA","Lecture","Jung-wha Lee "
"71370","ACCT 301","Financial Acct/Mangerl Dec-Mkg","001","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","10:30 am - 1:10 pm","CANCEL CRSE","Lecture","unknown "
"71371","ACCT 301","Financial Acct/Mangerl Dec-Mkg","002","Fairfax","Aug 29, 2016 - Dec 20, 2016","R","7:20 pm - 10:00 pm","IN 132","Lecture","Mark Chase "
"71369","ACCT 301","Financial Acct/Mangerl Dec-Mkg","003","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","10:30 am - 1:10 pm","CANCEL CRSE","Lecture","unknown "
"75402","ACCT 301","Financial Acct/Mangerl Dec-Mkg","005","Fairfax","Aug 29, 2016 - Dec 20, 2016","M","4:30 pm - 7:10 pm","IN 204","Lecture","Constance Hylton "
"75471","ACCT 301","Financial Acct/Mangerl Dec-Mkg","006","Fairfax","Aug 29, 2016 - Dec 20, 2016","T","7:20 pm - 10:00 pm","EXPL L003","Lecture","Mark Chase "
"75484","ACCT 301","Financial Acct/Mangerl Dec-Mkg","007","Fairfax","Aug 29, 2016 - Dec 20, 2016","TR","1:30 pm - 2:45 pm","EXPL L003","Lecture","unknown "
"76965","ACCT 301","Financial Acct/Mangerl Dec-Mkg","008","Fairfax","Aug 29, 2016 - Dec 20, 2016","W","7:20 pm - 10:00 pm","EXPL L003","Lecture","unknown "
"81424","ACCT 301","Financial Acct/Mangerl Dec-Mkg","009","Arlington","Aug 29, 2016 - Dec 20, 2016","M","10:30 am - 1:10 pm","CANCEL CRSE","Lecture","unknown "
"81429","ACCT 301","Financial Acct/Mangerl Dec-Mkg","010","Fairfax","Aug 29, 2016 - Dec 20, 2016","TR","12:00 pm - 1:15 pm","ENT 277","Lecture","unknown "
"75391","ACCT 303","Accounting for Decision Making","001","Fairfax","Aug 29, 2016 - Dec 20, 2016","TR","12:00 pm - 1:15 pm","AB 2003","Lecture","Janet Faughnan "
"78069","ACCT 303","Accounting for Decision Making","002","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","10:30 am - 1:10 pm","IN 204","Lecture","unknown "
"78070","ACCT 303","Accounting for Decision Making","003","Fairfax","Aug 29, 2016 - Dec 20, 2016","F","1:30 pm - 4:10 pm","CANCEL CRSE","Lecture","unknown "
"78071","ACCT 303","Accounting for Decision Making","004","Fairfax","Aug 29, 2016 - Dec 20, 2016","R","7:20 pm - 10:00 pm","EXPL L004","Lecture","Janet Faughnan "
"71372","ACCT 311","Managerial and Cost Accounting","001","Fairfax","Aug 29, 2016 - Dec 20, 2016","TR","3:00 pm - 4:15 pm","MH D005","Lecture","Edward Douthett "
"71373","ACCT 311","Managerial and Cost Accounting","002","Fairfax","Aug 29, 2016 - Dec 20, 2016","MW","12:00 pm - 1:15 pm","MH D001","Lecture","Massood Zadeh "
